2025-12-10 17:54:00.292|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x16C-NVL-DN.hlsl
2025-12-10 17:54:00.295|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x16C-NVL.hlsl
2025-12-10 17:54:00.295|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x4C-NVL-DN.hlsl
2025-12-10 17:54:00.296|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x4C-NVL.hlsl
2025-12-10 17:54:00.297|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x8C-NVL-DN.hlsl
2025-12-10 17:54:00.297|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-4x8C-NVL.hlsl
2025-12-10 17:54:00.298|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-6x8C-NVL-DN.hlsl
2025-12-10 17:54:00.303|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-6x8C-NVL.hlsl
2025-12-10 17:54:00.303|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x16C-NVL-DN.hlsl
2025-12-10 17:54:00.303|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x16C-NVL.hlsl
2025-12-10 17:54:00.303|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x4C-NVL-DN.hlsl
2025-12-10 17:54:00.304|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x4C-NVL.hlsl
2025-12-10 17:54:00.316|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x8C-NVL-DN.hlsl
2025-12-10 17:54:00.316|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy\CuNNy-8x8C-NVL.hlsl
2025-12-10 17:54:00.318|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-3x12-NVL.hlsl
2025-12-10 17:54:00.319|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-4x12-NVL.hlsl
2025-12-10 17:54:00.319|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-4x16-NVL.hlsl
2025-12-10 17:54:00.319|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-4x24-NVL.hlsl
2025-12-10 17:54:00.325|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-4x32-NVL.hlsl
2025-12-10 17:54:00.325|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-8x32-NVL.hlsl
2025-12-10 17:54:00.328|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-fast-NVL.hlsl
2025-12-10 17:54:00.328|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-faster-NVL.hlsl
2025-12-10 17:54:00.328|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\CuNNy2\CuNNy-veryfast-NVL.hlsl
2025-12-10 17:54:00.328|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Deband.hlsl
2025-12-10 17:54:00.332|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FSR\FSR_EASU.hlsl
2025-12-10 17:54:00.334|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FSR\FSR_RCAS.hlsl
2025-12-10 17:54:00.334|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FSRCNNX\FSRCNNX.hlsl
2025-12-10 17:54:00.342|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FSRCNNX\FSRCNNX_LineArt.hlsl
2025-12-10 17:54:00.342|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FXAA\FXAA_High.hlsl
2025-12-10 17:54:00.342|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FXAA\FXAA_Medium.hlsl
2025-12-10 17:54:00.343|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\FXAA\FXAA_Ultra.hlsl
2025-12-10 17:54:00.345|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Jinc.hlsl
2025-12-10 17:54:00.345|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\ImageAdjustment.hlsl
2025-12-10 17:54:00.345|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Lanczos.hlsl
2025-12-10 17:54:00.345|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NIS\NIS.hlsl
2025-12-10 17:54:00.346|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Nearest.hlsl
2025-12-10 17:54:00.352|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NIS\NVSharpen.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns128_win8x4.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns128_win8x6.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns16_win8x4.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns16_win8x6.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns256_win8x4.hlsl
2025-12-10 17:54:00.356|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns256_win8x6.hlsl
2025-12-10 17:54:00.359|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns32_win8x4.hlsl
2025-12-10 17:54:00.359|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns32_win8x6.hlsl
2025-12-10 17:54:00.359|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns64_win8x4.hlsl
2025-12-10 17:54:00.359|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\NNEDI3\NNEDI3_nns64_win8x6.hlsl
2025-12-10 17:54:00.359|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Pixel Art\MMPX.hlsl
2025-12-10 17:54:00.361|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Pixel Art\Pixellate.hlsl
2025-12-10 17:54:00.361|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Pixel Art\SharpBilinear.hlsl
2025-12-10 17:54:00.362|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R2.hlsl
2025-12-10 17:54:00.362|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R2_RGB.hlsl
2025-12-10 17:54:00.380|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R3.hlsl
2025-12-10 17:54:00.381|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R3_RGB.hlsl
2025-12-10 17:54:00.382|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R4.hlsl
2025-12-10 17:54:00.382|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_3x_R4_RGB.hlsl
2025-12-10 17:54:00.390|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_AR_R2.hlsl
2025-12-10 17:54:00.391|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_AR_R3.hlsl
2025-12-10 17:54:00.391|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_AR_R4.hlsl
2025-12-10 17:54:00.391|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_R2.hlsl
2025-12-10 17:54:00.391|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_R3.hlsl
2025-12-10 17:54:00.391|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Lite_R4.hlsl
2025-12-10 17:54:00.400|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R2.hlsl
2025-12-10 17:54:00.400|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R2_RGB.hlsl
2025-12-10 17:54:00.400|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R3.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R3_RGB.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R4.hlsl
